122 
0 0 4 12
0 0 Bot22 5 1
0 0 Bot17 5 1
0 0 Bot12 5 1
0 0 Bot27 5 1
0 0 Bot1 5 1
0 0 Bot26 5 1
0 0 Bot20 5 1
0 0 Bot7 5 1
0 0 Bot6 5 0
0 0 Bot5 5 1
0 0 Bot21 5 1
0 0 Bot2 5 0
0 5 Bot10 2 1
0 5 Bot23 2 1
0 6 Bot3 2 1
0 6 Bot9 2 0
0 7 Bot14 2 0
0 7 Bot18 2 1
0 7 Bot18 5 1
0 7 Bot22 2 1
0 7 Bot14 5 1
0 8 Bot21 2 1
0 10 Bot7 9 0
0 10 Bot20 9 1
0 10 Bot13 9 1
0 11 Bot8 9 1
0 11 Bot17 9 0
0 11 Bot16 9 0
0 12 Bot5 9 0
0 12 Bot27 9 1
0 12 Bot24 9 0
0 13 Bot15 9 0
0 14 Bot6 9 1
0 15 Bot2 5 1
0 15 Bot2 9 0
0 16 Bot13 2 1
0 17 Bot10 9 1
0 19 Bot23 9 1
0 20 Bot15 2 1
0 21 Bot27 2 0
0 21 Bot6 5 1
0 21 Bot6 2 1
0 21 Bot5 2 1
0 22 Bot18 9 1
0 24 Bot16 9 1
0 25 Bot17 9 1
0 27 Bot24 9 1
0 29 Bot2 2 1
0 31 Bot16 2 1
0 33 Bot17 2 1
0 35 Bot15 9 1
0 43 Bot20 4 0
0 49 Bot21 4 0
0 51 Bot20 2 1
0 51 Bot13 5 1
0 51 Bot13 4 1
0 51 Bot8 4 1
0 51 Bot8 5 1
0 51 Bot9 4 0
0 52 Bot26 4 0
0 54 Bot14 4 1
0 55 Bot10 4 1
0 57 Bot2 9 1
1 2 Bot26 2 1
1 3 Bot14 2 1
1 3 Bot23 4 1
1 6 Bot9 5 1
1 6 Bot9 9 1
1 7 Bot21 9 1
1 17 Bot18 4 1
1 19 Bot6 4 1
1 20 Bot17 4 0
1 23 Bot14 9 1
1 26 Bot25 7 0
1 26 Bot25 5 1
1 36 Bot25 9 0
1 37 Bot19 7 0
1 45 Bot25 2 0
1 48 Bot19 9 0
1 48 Bot9 4 1
1 54 Bot27 7 1
1 58 Bot25 9 1
2 1 Bot13 7 0
2 7 Bot27 2 1
2 10 Bot1 7 0
2 13 Bot22 1 0
2 16 Bot15 7 0
2 29 Bot22 9 1
2 29 Bot19 4 0
2 31 Bot24 7 0
2 31 Bot24 5 1
2 41 Bot23 7 1
2 41 Bot23 5 1
2 43 Bot25 4 1
2 43 Bot19 9 0
2 44 Bot26 7 0
2 46 Bot28 1 1
2 47 Bot17 7 0
3 2 Bot7 6 0
3 2 Bot19 9 1
3 5 Bot10 5 1
3 5 Bot10 1 0
3 8 Bot19 5 1
3 8 Bot19 2 0
3 15 Bot22 4 1
3 17 Bot19 2 1
3 19 Bot13 7 1
3 22 Bot28 4 0
3 22 Bot24 4 1
3 22 Bot28 5 1
3 23 Bot18 7 0
3 25 Bot9 7 0
3 26 Bot20 1 0
3 31 Bot24 2 1
3 32 Bot28 9 0
3 37 Bot26 4 0
3 37 Bot8 1 1
3 40 Bot28 2 1
3 46 Bot8 2 1
3 49 Bot2 7 0
3 53 Bot16 1 0
3 58 Bot28 9 1
