31
08 00 10 20
8 0 zys E 1
8 0 lqy E 1
8 0 sjl E 1
8 1 sjl G 1
8 5 lyx E 1
8 5 lqy I 1
8 8 sjl I 1
8 14 lqy C 0
8 22 lyc I 1
8 43 lyx A 0
8 43 lqy C 1
8 45 sjl D 1
8 52 zys C 0
8 52 lyc D 1
8 56 sjl C 0
9 1 lyx A 0
9 4 zys C 0
9 7 lyx A 0
9 17 lqy D 1
9 29 lyx A 1
9 30 sjl F 0
9 33 sjl F 1
9 51 lqy F 0
9 53 lqy F 1
10 1 lqy A 1
10 13 sjl H 1
10 31 lqy G 0
10 38 lyc G 1
10 47 lqy G 1
10 50 sjl A 1
11 3 zjz C 0
11 4 lqy B 0
11 4 zjz C 0
11 8 sjl B 0
11 19 zjz C 0
11 21 sjl B 0
11 21 zjz C 0
11 27 lyc F 0
11 28 lqy B 0
11 29 lqy B 0
11 31 lqy B 0
11 36 lqy B 0
11 41 lqy B 0
11 44 lqy B 0
11 45 sjl B 0
11 45 zys C 0
11 47 zys C 0
11 49 sjl B 0
11 53 lqy B 0
11 57 sjl B 0
11 59 lqy B 0
11 59 lqy B 0
